sku,ean,mpn,brand,offer,old_price,upc,retailer_sku_code,price,crawl_time,urls,title,out_of_stock,image,categories,desc
281920,8801643002053,AP_SM,Samsung,,,,,SG$904,,http://www.expansys.com.sg/samsung-galaxy-note5-dual-sim-sm-n9200-unlocked-lte-32gb-silver-titanium-281920/,Samsung Galaxy Note5 (Dual SIM) SM-N9200 ,,,,
284388,6947681528086,AP_SM4317AD6T1,Motorola,,,,,SG$524,,http://www.expansys.com.sg/motorola-moto-360-2nd-generation-mens-46mm-case-cognac-leather-284388/,Motorola moto 360 (2nd Gen.) ,,,,
268547,4718487661213,AP_NEXUS9LTE_BLK,Google,,,,,SG$649,,http://www.expansys.com.sg/google-nexus-9-tablet-unlocked-lte-32gb-indigo-black-268547/,Google Nexus 9 ,,,,
286073,8806088099231,AP_SM,Samsung,,,8806088079578,,SG$484.99,,http://www.expansys.com.sg/samsung-gear-s2-classic-dark-grey-286073/?partner=MKTGWEB&utm_campaign=banner-small-g&utm_medium=banner&utm_source=web,Samsung Gear S2 classic SM-R732 ,,,,
274858,8806086908481,AP_SM,Samsung,,,,,SG$749,,http://www.expansys.com.sg/samsung-galaxy-s6-unlocked-lte-32gb-gold-platinum-274858/,Samsung Galaxy S6 Dual-SIM SM-G9200 ,,,,
274491,8806086626170,AP_SM,Samsung,,,,,SG$539,,http://www.expansys.com.sg/samsung-galaxy-a7-dual-sim-sm-a700yd-unlocked-lte-16gb-white-274491/,Samsung GALAXY A7 Dual-SIM SM-A700YD ,,,,
276721,6438158721425,AP_LUMIA640XL_BLK,Microsoft,,,,,SG$284,,http://www.expansys.com.sg/microsoft-lumia-640-xl-dual-sim-rm-1096-unlocked-lte-8gb-black-276721/,Microsoft Lumia 640 XL Dual SIM RM-1096 ,,,,
280814,8806088033778,AP_SM,Samsung,,,,,SG$714,,http://www.expansys.com.sg/samsung-galaxy-tab-s2-97-sm-t815-lte-32gb-gold-280814/,Samsung Galaxy Tab S2 9.7 SM-T815C ,,,,
280812,8806088033839,AP_SM,Samsung,,,,,SG$714,,http://www.expansys.com.sg/samsung-galaxy-tab-s2-97-sm-t815-lte-32gb-black-280812/,Samsung Galaxy Tab S2 9.7 SM-T815C ,,,,
269598,802975859740,ACC,BlackBerry,,,,,SG$26,,http://www.expansys.com.sg/blackberry-classic-soft-shell-black-translucent-269598/,BlackBerry® Classic Soft Shell ,,,,
274475,5055887317081,AP_ATAFP_GXA7,AT,,,,,SG$13,,http://www.expansys.com.sg/at-screen-guard-for-samsung-galaxy-a7-anti-fingerprint-crystal-clear-274475/,AT Screen Guard for Samsung Galaxy A7 ,,,,
276476,6438158721685,AP_LUMIA640_BLK,Microsoft,,,,,SG$244,,http://www.expansys.com.sg/microsoft-lumia-640-dual-sim-unlocked-lte-8gb-black-276476/,Microsoft Lumia 640 Dual SIM RM-1113 ,,,,
285856,5055887324393,AP_22,22,,,,,SG$18,,http://www.expansys.com.sg/22-cases-screen-protector-for-google-nexus-5x-tempered-glass-285856/,22 Cases Screen Protector for Google Nexus 5X ,,,,
285992,5055887324287,AP_ATAFP_ZF2_Laser,AT,,,,,SG$13,,http://www.expansys.com.sg/at-screen-guard-for-asus-zenfone-2-laser-6-anti-fingerprint-crystal-clear-285992/,"AT Screen Guard for ASUS ZenFone 2 Laser 6"" ",,,,
285344,5055887324119,AP_ATAFP_Nexus,AT,,,,,SG$18,,http://www.expansys.com.sg/at-screen-guard-for-nexus-6p-anti-fingerprint-crystal-clear-front-285344/,AT Screen Guard for Nexus 6P ,,,,
