sku,ean,mpn,brand,offer,old_price,upc,retailer_sku_code,price,crawl_time,urls,title,out_of_stock,image,categories,desc
268547,4718487661213,AP_NEXUS9LTE_BLK,Google,,,,,SG$649,,http://www.expansys.com.sg/google-nexus-9-tablet-unlocked-lte-32gb-indigo-black-268547/,Google Nexus 9 ,,,,
284388,6947681528086,AP_SM4317AD6T1,Motorola,,,,,SG$524,,http://www.expansys.com.sg/motorola-moto-360-2nd-generation-mens-46mm-case-cognac-leather-284388/,Motorola moto 360 (2nd Gen.) ,,,,
285212,8806084998873,AP_H961N_LTH_BLK,LG,,,,,SG$927,,http://www.expansys.com.sg/lg-v10-dual-sim-h961n-unlocked-64gb-leather-black-285212/,LG V10 Dual-SIM H961N ,,,,
274491,8806086626170,AP_SM,Samsung,,,,,SG$539,,http://www.expansys.com.sg/samsung-galaxy-a7-dual-sim-sm-a700yd-unlocked-lte-16gb-white-274491/,Samsung GALAXY A7 Dual-SIM SM-A700YD ,,,,
283582,6947681527485,AP_MotoXPlay_dual_WHT,Motorola,,,,,SG$489,,http://www.expansys.com.sg/motorola-moto-x-play-dual-sim-unlocked-16gb-white-283582/,Motorola Moto X Play XT1562 Dual SIM ,,,,
286570,,AP_XT1580_BLK,Motorola,,,,,,,http://www.expansys.com.sg/motorola-moto-x-force-xt1580-unlocked-32gb-black-286570/,Motorola Moto X Force XT1580 ,,,,
281207,4712900065534,90HC0021,ASUS,,,889349065532,,SG$244,,http://www.expansys.com.sg/asus-vivowatch-black-281207/,ASUS VivoWatch HC-A01 ,,,,
282123,4712900150971,AP_ZE551ML_DLX16_WHT,ASUS,,,889349150979,,SG$354,,http://www.expansys.com.sg/asus-zenfone-2-deluxe-dual-sim-ze551ml-unlocked-lte-16gb-white-282123/,ASUS ZenFone 2 Deluxe Dual SIM - ZE551ML ,,,,
276721,6438158721425,AP_LUMIA640XL_BLK,Microsoft,,,,,SG$279,,http://www.expansys.com.sg/microsoft-lumia-640-xl-dual-sim-rm-1096-unlocked-lte-8gb-black-276721/,Microsoft Lumia 640 XL Dual SIM RM-1096 ,,,,
276610,4894522019109,AP_ASZE51TULT2TSMT,melkco,,,4894522024332,,SG$15,,http://www.expansys.com.sg/melkco-poly-jacket-tpu-case-for-asus-zenfone2-ze550-551ml-with-screen-protector-transparent-mat-276610/,melkco Poly Jacket TPU Case for ASUS ZenFone2 ZE550/551ML ,,,,
276476,6438158721685,AP_LUMIA640_BLK,Microsoft,,,,,SG$244,,http://www.expansys.com.sg/microsoft-lumia-640-dual-sim-unlocked-lte-8gb-black-276476/,Microsoft Lumia 640 Dual SIM RM-1113 ,,,,
276196,4897039993863,AP_Tektos_QiminiV1,TEKTOS,,,,,SG$35,,http://www.expansys.com.sg/tektos-qimini-v1-1-pocket-wireless-charger-for-qi-276196/,TEKTOS Qimini Pocket Wireless Charger for Qi - QIMPOB ,,,,
